scenario,r,eta,insu,v,proba,Keq,Kopt,K1,Weq,Wopt,W1,Weq_rel,Wopt_rel,W1_rel
146,0.04,0.5,0.25,0.125,0.08,346.9094086,304.2868595,323.5531664,40.47276372,40.37415756,32.30140261,1.143947398,1.164165545,1.033745501
147,0.04,0.5,0.25,0.125,0.09,334.8854375,293.4442053,323.5531664,40.04671705,39.94768509,32.21353225,1.13190535,1.151868457,1.030933376
148,0.04,0.5,0.25,0.125,0.1,323.5531664,283.4157181,323.5531664,39.63526201,39.53674561,32.1256619,1.120275728,1.140019254,1.028121251
149,0.04,0.5,0.25,0.125,0.11,312.8576889,274.0944557,323.5531664,39.23756889,39.14028838,32.03779154,1.109035082,1.128587638,1.025309126
150,0.04,0.5,0.25,0.125,0.12,302.7496605,265.3946381,323.5531664,38.85287308,38.75737585,31.94992119,1.0981618,1.117546577,1.022497001
151,0.04,0.5,0.25,0.2,0,477.1544113,477.1544113,267.3621998,44.53441218,44.53441218,33.00436545,1.258748359,1.284124087,1.056242501
152,0.04,0.5,0.25,0.2,0.001,287.5809937,287.5610218,267.3621998,43.09401191,43.09367606,32.99030619,1.218035989,1.242581292,1.055792561
153,0.04,0.5,0.25,0.2,0.002,287.4729435,287.392662,267.3621998,43.03469965,43.03336412,32.97624694,1.21635955,1.240842232,1.055342621
154,0.04,0.5,0.25,0.2,0.003,287.3649623,287.1835759,267.3621998,42.97543012,42.97244493,32.96218768,1.21468432,1.239085662,1.054892681
155,0.04,0.5,0.25,0.2,0.004,287.2570501,286.933483,267.3621998,42.91620328,42.9109348,32.94812842,1.213010295,1.237312053,1.054442741
156,0.04,0.5,0.25,0.2,0.005,287.1492067,286.6422921,267.3621998,42.8570191,42.84885255,32.93406917,1.211337477,1.235521947,1.053992801
157,0.04,0.5,0.25,0.2,0.006,287.0414321,286.3101015,267.3621998,42.79787753,42.7862194,32.92000991,1.209665863,1.233715956,1.053542861
158,0.04,0.5,0.25,0.2,0.007,286.9337263,285.9371891,267.3621998,42.73877853,42.7230586,32.90595065,1.207995452,1.231894751,1.053092921
159,0.04,0.5,0.25,0.2,0.008,286.8260891,285.5240271,267.3621998,42.67972206,42.65939559,32.8918914,1.206326243,1.230059065,1.052642981
160,0.04,0.5,0.25,0.2,0.009,286.7185206,285.0712543,267.3621998,42.62070809,42.59525739,32.87783214,1.204658235,1.228209677,1.052193041
161,0.04,0.5,0.25,0.2,0.01,286.6110206,284.5796814,267.3621998,42.56173657,42.53067264,32.86377288,1.202991427,1.226347413,1.051743101
162,0.04,0.5,0.25,0.2,0.011,286.5035892,284.0502625,267.3621998,42.50280746,42.46567105,32.84971362,1.201325818,1.22447313,1.051293161
163,0.04,0.5,0.25,0.2,0.012,286.3962262,283.4841082,267.3621998,42.44392072,42.40028358,32.83565437,1.199661407,1.22258772,1.050843221
164,0.04,0.5,0.25,0.2,0.013,286.2889315,282.8824235,267.3621998,42.38507631,42.3345414,32.82159511,1.197998192,1.220692082,1.050393281
165,0.04,0.5,0.25,0.2,0.014,286.1817052,282.2465482,267.3621998,42.3262742,42.26847658,32.80753585,1.196336172,1.218787141,1.049943341
166,0.04,0.5,0.25,0.2,0.015,286.0745471,281.5778894,267.3621998,42.26751434,42.20212099,32.7934766,1.194675347,1.216873816,1.049493401
167,0.04,0.5,0.25,0.2,0.02,285.5397784,277.7962809,267.3621998,41.97434743,41.86708155,32.72318031,1.186389095,1.207213147,1.047243701
168,0.04,0.5,0.25,0.2,0.025,285.006707,273.4288473,267.3621998,41.6822309,41.52928653,32.65288403,1.178132531,1.197473022,1.044994001
169,0.04,0.5,0.25,0.2,0.03,284.4753251,268.6622924,267.3621998,41.3911598,41.1918477,32.58258775,1.169905517,1.187743168,1.042744301
170,0.04,0.5,0.25,0.2,0.035,283.9456253,263.6533966,267.3621998,41.10112926,40.85711318,32.51229146,1.161707913,1.178091291,1.040494601
171,0.04,0.5,0.25,0.2,0.04,283.4176,258.5230675,267.3621998,40.81213441,40.52673046,32.44199518,1.153539582,1.168564896,1.038244901
172,0.04,0.5,0.25,0.2,0.045,282.8912419,253.3595887,267.3621998,40.5241704,40.20178902,32.37169889,1.145400388,1.159195397,1.035995201
173,0.04,0.5,0.25,0.2,0.05,282.3665434,248.2250366,267.3621998,40.23723243,39.88296641,32.30140261,1.137290195,1.150002331,1.033745501
174,0.04,0.5,0.25,0.2,0.06,281.3220959,238.1978216,267.3621998,39.66641552,39.26502267,32.16081004,1.12115627,1.13218428,1.029246101
175,0.04,0.5,0.25,0.2,0.07,280.284199,228.6321793,267.3621998,39.09964577,38.67395072,32.02021747,1.105136737,1.115141061,1.024746701
176,0.04,0.5,0.25,0.2,0.08,279.252795,219.5973969,267.3621998,38.53688572,38.10923302,31.87962491,1.089230536,1.098857752,1.020247301
177,0.04,0.5,0.25,0.2,0.09,278.2278267,211.1036978,267.3621998,37.97809834,37.56967994,31.73903234,1.073436622,1.08330005,1.0157479
178,0.04,0.5,0.25,0.2,0.1,267.3621998,203.1335926,267.3621998,37.430708,37.05385304,31.59843977,1.057964841,1.068426479,1.0112485
179,0.04,0.5,0.25,0.2,0.11,255.1270561,195.6574173,267.3621998,36.90838112,36.56026265,31.4578472,1.043201468,1.054194085,1.0067491
180,0.04,0.5,0.25,0.2,0.12,243.8141785,188.6411705,267.3621998,36.40958525,36.08746039,31.31725463,1.029103191,1.040561104,1.0022497
181,0.04,0.5,0.25,0.25,0,477.1544113,477.1544113,213.9709571,44.53441218,44.53441218,33.00436545,1.258748359,1.284124087,1.056242501
182,0.04,0.5,0.25,0.25,0.001,222.3304798,222.3221178,213.9709571,41.64527801,41.64504371,32.98679138,1.177088072,1.200810814,1.055680076
